Sezon,Ora,Temperatura,Umbra,Radiatia Solara,Kw
Vara,9,35,68,7,4829
Primavara,15,22,34,3,746
Primavara,12,28,87,10,1229
Primavara,11,27,92,4,1403
Primavara,12,22,55,10,2308
Primavara,11,22,6,4,698
Vara,16,37,25,6,1335
Toamna,14,11,65,4,659
Primavara,13,29,32,8,764
Vara,9,25,97,8,3773
Primavara,12,22,94,5,2264
Primavara,8,30,53,10,1872
Iarna,11,-15,83,9,433
Iarna,14,-9,23,2,99
Primavara,11,24,76,6,2245
Toamna,12,11,18,7,203
Primavara,9,21,53,8,1206
Vara,13,28,13,2,635
Primavara,13,15,76,8,1434
Vara,9,26,29,3,1630
Vara,14,26,79,9,3867
Primavara,16,20,14,3,745
Primavara,14,21,75,8,1666
Vara,10,30,97,6,3322
Primavara,8,28,42,7,763
Vara,12,39,90,4,3224
Primavara,14,18,13,2,626
Toamna,14,10,93,4,907
Toamna,11,17,64,3,786
Iarna,9,-9,27,4,237
Vara,10,31,75,9,3453
Toamna,13,24,17,8,404
Toamna,11,11,91,3,991
Primavara,14,27,52,9,1377
Primavara,12,17,73,10,1582
Vara,8,28,38,9,729
Primavara,9,20,82,7,2107
Toamna,12,22,44,4,304
Toamna,14,11,40,5,297
Vara,14,38,75,8,4454
Primavara,9,24,20,3,732
Vara,15,26,71,3,2770
Vara,15,28,81,10,4782
Toamna,9,24,51,10,616
Toamna,14,18,38,10,234
Vara,8,38,47,5,739
Toamna,10,11,90,5,511
Toamna,14,24,70,4,523
Vara,9,31,37,5,1785
Vara,11,38,85,10,2731
Primavara,8,25,63,5,1414
Toamna,13,14,21,7,311
Toamna,16,25,78,2,558
Primavara,10,20,85,7,1518
Primavara,8,22,41,2,811
Iarna,14,-10,15,6,207
Vara,12,37,86,4,4552
Toamna,15,25,90,9,917
Vara,11,32,20,8,2226
Primavara,8,15,5,4,980
Vara,13,40,51,3,3847
Vara,15,37,86,2,4699
Iarna,9,-1,70,2,319
Iarna,8,-8,97,10,344
Vara,15,32,32,9,2390
Iarna,10,-13,54,4,251
Vara,13,31,87,8,3620
Vara,8,26,24,8,1762
Primavara,11,19,23,3,549
Primavara,11,24,95,10,1191
Toamna,15,14,38,3,403
Iarna,9,-5,20,2,245
Toamna,8,17,30,8,283
Vara,14,40,29,5,1517
Primavara,15,23,84,5,2121
Primavara,9,29,92,10,1420
Vara,10,36,83,7,4769
Iarna,14,-3,91,4,363
Toamna,12,17,95,3,827
Vara,12,38,30,2,2339
Vara,10,34,55,4,2684
Primavara,16,19,32,10,933
Iarna,10,-13,40,3,32
Iarna,11,-18,29,9,49
Vara,11,30,93,4,2803
Vara,11,32,32,2,835
Primavara,9,23,50,3,588
Vara,12,34,20,2,1952
Primavara,13,29,92,4,1408
Vara,13,25,61,6,3482
Vara,9,29,98,2,3689
Toamna,8,13,54,7,542
Vara,16,27,4,7,1134
Toamna,10,25,64,2,674
Toamna,11,18,56,2,928
Vara,9,35,52,10,4316
Toamna,13,15,36,6,331
Vara,15,27,42,6,1556
Toamna,12,12,24,5,444
Vara,12,40,69,10,2709
Vara,13,34,97,3,4589
Primavara,10,25,64,4,1266
Primavara,15,22,64,7,1653
Toamna,11,11,79,8,519
Toamna,11,24,15,4,485
Iarna,10,-20,76,6,296
Toamna,13,24,33,2,294
Vara,14,25,71,5,3975
Primavara,8,16,83,2,1406
Toamna,16,13,26,4,429
Primavara,8,25,73,10,2013
Toamna,10,11,99,6,876
Vara,9,32,47,5,2065
Vara,16,33,38,10,750
Primavara,9,22,91,10,2261
Primavara,16,24,39,8,970
Vara,13,35,31,10,1288
Vara,13,35,37,4,2228
Toamna,10,23,42,2,466
Toamna,9,19,3,2,177
Toamna,10,15,7,3,500
Toamna,12,14,2,7,312
Iarna,9,-15,6,2,244
Toamna,16,10,87,9,533
Iarna,9,-14,99,7,334
Primavara,11,18,35,4,578
Primavara,11,22,57,3,2119
Vara,14,35,11,7,1268
Iarna,9,-20,77,4,409
Iarna,16,-10,55,7,341
Vara,8,28,76,9,4449
Primavara,13,27,16,6,646
Toamna,10,17,51,3,629
Toamna,15,19,88,3,550
Primavara,12,23,55,10,1048
Primavara,10,20,4,4,721
Toamna,16,24,74,9,952
Iarna,10,0,0,6,161
Toamna,13,17,14,5,267
Toamna,11,11,69,2,818
Primavara,13,21,17,7,639
Iarna,16,-10,59,5,447
Toamna,15,19,42,9,454
Toamna,9,16,8,9,391
Primavara,8,24,19,8,779
Toamna,9,11,83,6,983
Vara,12,31,41,8,758
Vara,10,37,27,5,2141
Toamna,9,14,88,8,648
Iarna,8,0,47,2,230
Primavara,12,28,96,8,1296
Primavara,15,24,54,3,1977
Toamna,13,17,41,8,184
Iarna,11,-6,80,9,458
Primavara,8,30,56,10,1354
Primavara,12,18,32,4,582
Iarna,14,3,37,8,167
Vara,14,32,35,9,1834
Toamna,15,12,9,10,114
Primavara,10,16,36,3,874
Vara,12,27,45,10,654
Iarna,9,-6,27,7,200
Toamna,15,14,52,4,906
Iarna,11,-18,78,8,429
Iarna,8,-3,64,4,489
Toamna,9,21,73,3,901
Iarna,11,-18,61,10,276
Toamna,15,11,85,4,829
Toamna,14,24,28,3,301
Primavara,11,29,27,6,818
Iarna,13,5,3,4,235
Iarna,8,-20,54,8,253
Vara,9,35,88,3,3730
Toamna,14,11,56,8,575
Vara,14,40,38,2,884
Vara,12,25,41,8,1094
Iarna,10,-15,72,9,425
Vara,15,33,9,5,513
Vara,11,31,14,3,1644
Vara,15,27,41,4,2389
Vara,10,28,81,10,2543
Iarna,13,2,69,4,311
Primavara,10,25,79,7,1438
Vara,9,39,17,7,1975
Vara,14,37,23,9,2141
Toamna,9,20,74,9,896
Vara,14,25,40,8,702
Toamna,16,11,87,8,859
Primavara,15,25,38,2,681
Vara,13,40,8,10,1963
Vara,16,31,99,4,3891
Primavara,15,25,92,10,1346
Iarna,16,-14,25,5,130
Primavara,15,26,19,10,897
Primavara,16,22,69,7,1479
Iarna,8,-1,93,9,369
Iarna,11,-17,37,2,188
Toamna,14,13,17,8,270
Iarna,8,-5,54,9,496
Vara,16,34,64,3,3041
Iarna,8,-11,13,2,185
Vara,11,36,98,7,4981
Vara,15,26,77,2,4849
Primavara,13,18,5,2,884
Toamna,9,15,60,5,897
Iarna,14,0,73,2,415
Vara,11,26,80,4,4570
Toamna,13,16,7,4,199
Primavara,13,15,12,4,617
Primavara,11,20,8,9,675
Iarna,15,-16,77,6,464
Iarna,15,3,94,2,420
Toamna,9,19,27,3,229
Toamna,9,19,96,8,967
Vara,14,27,13,9,1313
Iarna,13,-11,94,5,256
Iarna,12,-18,52,8,346
Primavara,11,18,94,7,1248
Toamna,11,20,31,7,347
Iarna,11,-15,79,5,265
Toamna,9,14,88,9,896
Toamna,8,14,0,4,382
Toamna,16,13,0,3,360
Toamna,8,25,2,8,490
Vara,11,34,72,3,3960
Primavara,11,15,80,3,1897
Vara,15,25,33,7,1228
Vara,9,33,85,7,3091
Primavara,13,18,66,4,2015
Toamna,15,21,13,10,301
Toamna,8,12,52,9,590
Iarna,11,-12,1,2,214
Toamna,12,21,66,4,920
Toamna,15,14,72,7,753
Vara,15,36,61,5,4744
Primavara,15,29,50,2,576
Toamna,14,21,52,9,556
Iarna,11,-12,73,4,397
Vara,13,36,79,6,2656
Iarna,15,0,7,4,172
Primavara,12,21,95,6,2313
Toamna,10,25,27,5,118
Iarna,14,-13,95,6,311
Iarna,16,-13,82,5,452
Primavara,16,27,0,10,991
Iarna,8,-20,16,10,66
Toamna,9,25,78,6,955
Primavara,12,15,78,3,1255
Vara,14,30,28,9,1343
Toamna,12,22,80,7,989
Vara,16,28,40,7,2248
Primavara,11,28,96,7,2044
Primavara,10,30,59,3,1339
Vara,12,35,48,7,1070
Primavara,11,17,69,3,1489
Toamna,11,25,75,6,685
Primavara,15,16,50,10,897
Primavara,9,27,25,3,828
Iarna,15,-18,57,9,470
Primavara,15,15,75,2,1224
Iarna,14,-5,46,9,215
Vara,14,34,69,3,3722
Vara,11,30,98,4,2757
Vara,10,39,68,2,3468
Primavara,16,16,98,7,2111
Iarna,14,0,26,5,75
Vara,10,27,16,2,1750
Toamna,10,20,89,8,789
Iarna,12,-20,5,4,105
Primavara,8,29,77,2,1097
Iarna,8,0,99,4,369
Toamna,11,18,81,5,592
Iarna,15,1,86,4,420
Primavara,14,18,19,5,820
Vara,9,39,86,7,4420
Vara,8,33,96,7,3094
Toamna,16,10,13,6,459
Primavara,13,17,61,3,2277
Iarna,16,-15,42,3,211
Primavara,14,29,90,5,1763
Primavara,11,18,26,10,835
Toamna,12,19,26,8,309
Vara,9,39,54,7,3840
Iarna,8,4,53,10,441
Vara,12,33,80,10,4038
Toamna,11,17,29,2,417
Iarna,12,-20,21,10,133
Primavara,10,17,56,4,1089
Vara,16,29,96,9,3974
Iarna,9,4,11,6,58
Iarna,9,2,58,8,268
Iarna,10,-7,22,9,19
Iarna,15,-7,58,8,250
Toamna,8,10,66,6,807
Toamna,8,17,56,10,701
Iarna,10,5,18,5,145
Primavara,16,22,16,9,940
Toamna,8,21,14,4,466
Toamna,8,10,56,9,612
Primavara,9,19,36,3,765
Primavara,16,30,72,4,2470
Primavara,12,23,94,9,1946
Primavara,16,20,76,10,1091
Vara,11,34,44,4,1173
Toamna,11,24,5,8,213
Iarna,13,-19,56,5,349
Vara,11,30,85,8,4491
Iarna,16,-18,86,2,320
Primavara,15,24,17,7,646
Vara,14,26,35,4,647
Iarna,8,-1,24,5,22
Primavara,9,21,65,6,1975
Iarna,14,4,44,7,127
Vara,10,28,45,4,1308
Vara,14,30,58,3,3255
Vara,9,34,23,2,1703
Toamna,13,12,76,6,557
Primavara,16,25,43,10,958
Primavara,11,16,29,2,808
Iarna,13,-15,79,5,471
Toamna,8,12,91,4,697
Toamna,16,18,12,3,116
Iarna,13,-6,79,10,368
Iarna,16,-2,97,9,257
Toamna,12,13,45,5,358
Vara,14,25,44,2,1305
Iarna,8,-1,80,7,399
Vara,10,40,6,7,2119
Toamna,13,20,0,7,450
Vara,12,34,54,6,2862
Vara,8,27,72,7,3030
Toamna,16,23,2,3,482
Vara,15,40,11,8,1957
Iarna,12,3,89,5,400
Iarna,11,-16,57,3,470
Vara,14,32,64,9,2626
Iarna,13,-18,0,7,68
Vara,8,28,19,6,949
Iarna,14,-1,24,4,173
Iarna,11,-13,10,7,28
Primavara,9,23,43,8,798
Toamna,16,16,33,4,433
Vara,12,28,53,2,4539
Toamna,12,13,48,7,359
Iarna,12,-6,15,8,92
Iarna,12,-15,92,10,368
Primavara,9,17,76,3,2140
Toamna,11,11,61,6,822
Toamna,10,11,22,10,394
Vara,14,29,98,6,3863
Toamna,11,20,63,6,662
Primavara,13,22,67,9,2085
Vara,14,38,90,4,2795
Iarna,16,-14,40,8,240
Iarna,13,0,51,7,429
Toamna,11,10,46,8,206
Toamna,13,14,96,8,581
Vara,11,28,38,10,1846
Primavara,14,19,82,3,1786
Toamna,11,13,42,7,416
Primavara,16,19,81,8,1985
Primavara,8,24,63,6,2055
Primavara,15,15,90,8,2157
Vara,15,25,1,5,1571
Toamna,12,15,69,3,735
Iarna,12,5,63,2,476
Iarna,16,-14,74,4,306
Primavara,9,21,55,8,1908
Primavara,9,20,82,5,2270
Iarna,9,-4,74,10,374
Vara,13,39,7,2,1086
Toamna,9,15,82,8,658
Toamna,10,20,94,10,854
Toamna,9,15,80,9,869
Iarna,16,4,77,3,492
Vara,12,27,43,3,878
Primavara,13,24,39,8,858
Toamna,10,10,72,5,785
Primavara,10,26,29,7,966
Primavara,11,21,61,3,1297
Vara,12,32,15,7,996
Primavara,12,18,73,10,2137
Vara,15,29,80,7,3559
Vara,16,38,91,2,4843
Iarna,10,3,2,2,85
Iarna,11,-1,7,3,31
Primavara,10,17,69,7,2280
Toamna,10,23,58,8,713
Vara,13,30,79,8,2734
Iarna,10,-15,94,10,299
Toamna,10,17,4,6,189
Vara,8,30,4,8,2221
Vara,14,37,77,2,4067
Toamna,14,15,91,2,823
Primavara,12,17,53,8,1585
Toamna,13,20,39,5,489
Primavara,13,23,58,8,2151
Iarna,8,-19,70,4,394
Primavara,9,16,46,8,870
Iarna,9,-12,98,7,317
Primavara,15,21,63,10,1297
Primavara,9,22,80,7,1837
Vara,12,25,50,3,748
Toamna,16,15,4,8,182
Primavara,12,22,79,2,1475
Iarna,8,-6,11,8,182
Toamna,16,11,0,8,163
Iarna,8,-18,8,5,103
Toamna,15,10,56,2,603
Primavara,14,18,100,4,1152
Iarna,14,-19,74,3,496
Primavara,11,29,2,2,806
Vara,11,26,40,5,559
Toamna,10,17,5,7,409
Vara,15,31,84,2,4654
Primavara,14,30,82,3,2105
Primavara,16,17,87,9,2359
Iarna,16,4,29,6,73
Primavara,15,18,64,10,1936
Vara,12,30,35,7,643
Vara,8,25,82,10,3655
Primavara,16,15,95,8,1900
Toamna,13,18,57,3,593
Iarna,14,-2,93,4,376
Iarna,8,-7,88,10,272
Vara,10,31,72,5,4570
Toamna,11,20,56,8,756
Iarna,12,-5,5,9,250
Vara,12,30,27,10,1047
Iarna,16,-13,67,9,476
Vara,10,27,35,4,688
Vara,8,37,49,3,1850
Vara,14,33,15,2,2259
Iarna,11,-3,59,8,377
Toamna,15,25,68,7,771
Vara,11,34,89,8,4509
Vara,14,26,10,5,716
Vara,14,35,34,8,1688
Iarna,11,-2,73,2,364
Vara,11,31,76,3,3895
Vara,13,26,23,7,1263
Iarna,14,-6,4,5,12
Vara,11,36,35,2,2000
Vara,12,40,79,3,4691
Primavara,10,29,56,5,2451
Primavara,12,17,60,6,1933
Primavara,10,20,71,9,1816
Toamna,12,25,80,8,826
Toamna,15,12,96,6,929
Primavara,9,29,64,3,1915
Toamna,8,21,31,3,294
Iarna,8,-20,14,9,202
Vara,16,27,82,7,4995
Primavara,9,25,40,5,510
Vara,8,38,91,9,3248
Vara,13,31,65,8,3338
Toamna,8,25,97,10,761
Toamna,10,14,54,3,660
Iarna,14,-5,96,8,378
Vara,14,32,87,3,3773
Iarna,13,-17,3,3,27
Iarna,8,4,36,7,17
Vara,16,28,14,5,2092
Toamna,14,23,46,2,151
Iarna,10,-6,38,2,176
Iarna,15,-17,96,3,500
Primavara,16,19,10,10,850
Primavara,15,17,8,2,764
Vara,8,25,34,8,612
Iarna,16,-7,74,5,299
Iarna,16,-12,78,9,310
Toamna,9,12,42,6,451
Toamna,11,22,89,9,792
Primavara,9,15,52,4,1970
Toamna,16,15,96,5,861
Toamna,14,24,71,4,959
Toamna,9,11,37,8,125
Primavara,16,27,75,9,1972
Primavara,11,29,39,6,807
Vara,13,40,93,4,3679
Toamna,12,16,95,10,610
Iarna,12,4,39,9,168
Iarna,15,1,81,4,297
Primavara,16,25,87,10,1626
Primavara,12,18,68,2,1912
Vara,9,30,47,5,2366
Vara,8,34,30,9,1235
Iarna,8,-4,50,4,63
Toamna,11,13,8,6,473
Vara,11,32,18,5,2444
Iarna,11,-20,49,6,216
Vara,9,32,82,9,2528
Iarna,10,-1,0,3,154
Vara,15,26,97,3,4449
Toamna,12,10,14,5,441
Toamna,8,16,75,8,780
Iarna,13,-19,64,7,332
Vara,8,31,77,2,3408
Toamna,12,15,52,5,589
Vara,10,27,19,10,1470
Iarna,9,-14,72,10,323
Toamna,13,21,76,10,834
Primavara,10,20,40,6,903
Vara,10,30,45,2,1352
Vara,9,28,17,4,1937
Toamna,13,22,18,3,348
Iarna,12,-14,17,4,100
Vara,14,40,12,3,1667
Toamna,8,11,38,2,482
Iarna,13,-13,99,4,346
Toamna,13,12,57,2,725
Iarna,10,5,15,9,142
Vara,14,39,12,8,1667
Iarna,13,-3,32,3,116
Iarna,9,-15,51,2,294
Vara,11,39,51,4,4959
Vara,10,31,70,5,4964
Vara,10,28,87,6,4223
Primavara,11,27,4,2,849
Vara,8,33,46,9,719
Primavara,15,20,14,8,889
Toamna,13,14,52,7,622
Iarna,10,-7,53,8,476
Primavara,11,23,86,9,1043
Vara,11,34,25,10,672
Primavara,10,19,91,5,1564
Primavara,14,30,10,10,949
Toamna,16,15,25,7,409
Iarna,9,-12,87,3,404
Vara,12,33,92,9,2671
Primavara,16,22,21,7,787
Vara,11,28,69,3,3822
Vara,9,34,82,4,2984
Vara,12,31,29,8,1492
Toamna,8,22,17,2,426
Primavara,14,17,38,3,704
Primavara,15,17,64,8,2072
Iarna,15,-10,46,9,90
Primavara,8,25,72,6,2333
Iarna,8,-17,49,2,187
Iarna,10,-4,28,6,236
Vara,10,34,31,9,840
Primavara,8,27,78,6,2331
Iarna,8,4,45,9,235
Toamna,9,17,8,5,481
Iarna,14,-3,14,9,203
Toamna,14,12,64,8,526
Vara,10,38,26,9,2362
Primavara,10,28,72,3,2339
Vara,11,25,16,4,2298
Toamna,10,25,99,8,746
Primavara,12,25,12,2,590
Iarna,9,-11,65,7,277
Toamna,12,17,25,8,370
Primavara,9,27,20,9,669
Vara,14,34,68,5,4293
Vara,10,38,7,8,560
Primavara,16,21,49,4,602
Toamna,11,19,75,9,687
Toamna,16,21,30,7,273
Iarna,13,1,100,3,430
Vara,13,33,1,9,1352
Primavara,15,30,44,5,815
Iarna,15,5,61,5,482
Primavara,13,29,37,8,851
Vara,9,25,26,2,2094
Toamna,11,11,31,2,178
Primavara,14,16,6,7,772
Vara,14,29,82,5,3502
Primavara,15,29,33,10,506
Vara,13,34,99,5,4624
Primavara,14,19,12,4,666
Toamna,14,25,4,7,197
Primavara,13,17,96,3,1916
Toamna,10,23,3,7,239
Vara,12,36,25,5,1674
Iarna,12,-16,88,7,444
Vara,9,25,47,6,1816
Primavara,16,21,77,9,2058
Toamna,11,19,2,9,307
Primavara,10,27,0,6,959
Primavara,12,28,15,10,779
Iarna,8,-3,84,8,396
Toamna,10,10,35,4,316
Iarna,12,-12,13,8,87
Toamna,13,13,100,8,847
Toamna,9,13,66,3,953
Primavara,8,18,72,2,1889
Iarna,9,-15,46,6,152
Iarna,9,-17,53,4,481
Vara,15,34,36,4,1547
Iarna,8,3,38,7,47
Primavara,8,20,31,2,619
Vara,16,26,56,2,4319
Toamna,14,10,12,9,172
Primavara,9,27,5,9,548
Toamna,16,20,65,3,570
Toamna,14,13,84,2,869
Toamna,11,15,71,2,571
Iarna,10,0,30,9,104
Iarna,13,-18,75,7,435
Primavara,14,24,69,7,1129
Toamna,11,10,8,2,216
Vara,9,33,4,6,2352
Vara,11,36,70,3,4925
Toamna,13,14,99,8,591
Iarna,10,-16,23,9,97
Vara,12,29,5,7,2089
Primavara,10,25,20,6,525
Toamna,9,14,24,6,165
Primavara,10,20,58,8,1289
Vara,9,36,10,10,848
Primavara,15,19,47,6,520
Vara,9,29,2,5,1587
Iarna,11,-19,19,9,101
Vara,11,25,97,7,4813
Vara,14,32,14,2,647
Iarna,16,-7,79,5,345
Toamna,14,18,96,10,698
Toamna,15,14,82,9,969
Toamna,13,19,24,3,114
Vara,12,33,37,2,1901
Primavara,9,24,81,9,1053
Iarna,9,5,50,4,192
Iarna,15,-8,51,3,407
Toamna,13,21,99,9,813
Toamna,14,24,55,9,514
Iarna,16,-17,85,3,288
Primavara,16,15,81,6,1751
Vara,13,28,85,7,4519
Iarna,10,5,84,4,443
Iarna,9,-13,0,9,102
Iarna,8,-16,100,9,378
Primavara,15,29,48,5,952
Primavara,16,30,93,5,1757
Primavara,15,15,26,9,771
Toamna,15,10,91,10,563
Toamna,13,13,62,2,612
Toamna,10,19,20,3,452
Toamna,14,14,8,4,413
Vara,16,32,28,6,1952
Toamna,12,12,96,9,962
Toamna,8,16,44,4,232
Vara,10,27,70,3,3623
Iarna,15,-16,73,5,500
Toamna,11,12,66,8,614
Primavara,16,15,32,5,837
Vara,15,29,36,6,2126
Toamna,12,16,29,2,103
Vara,11,25,87,10,3505
Vara,12,30,37,6,2355
Iarna,12,-13,3,4,204
Primavara,8,19,29,10,996
Iarna,10,-1,46,4,157
Primavara,13,21,45,5,942
Toamna,10,20,35,4,339
Primavara,8,17,49,2,915
Iarna,12,-13,67,5,269
Vara,16,30,93,3,3203
Vara,12,30,28,4,2270
Iarna,15,-11,72,5,297
Primavara,14,28,60,10,1863
Vara,8,28,23,4,1925
Toamna,16,15,53,8,751
Vara,12,30,85,9,4038
Primavara,10,20,99,4,2268
Vara,8,27,51,9,2849
Vara,15,40,54,7,4843
Primavara,8,25,82,3,2017
Toamna,8,24,16,6,490
Toamna,14,24,60,8,515
Vara,10,39,54,6,4265
Iarna,14,-13,40,5,78
Iarna,8,-17,77,4,434
Primavara,12,16,25,7,669
Iarna,10,2,30,5,212
Iarna,16,-3,48,8,115
Toamna,8,24,37,6,392
Toamna,15,23,90,8,893
Iarna,9,-18,75,3,305
Primavara,8,18,60,9,1078
Primavara,12,24,90,6,1888
Iarna,15,-18,58,6,427
Primavara,11,25,66,3,2171
Vara,10,26,65,5,4552
Primavara,8,15,44,9,803
Vara,9,27,45,5,938
Vara,15,25,58,7,3889
Vara,8,31,32,3,2291
Vara,12,31,69,4,2826
Vara,16,33,85,3,4060
Iarna,16,-16,64,8,344
Toamna,11,25,5,9,192
Iarna,9,4,10,10,35
Primavara,16,23,93,6,1416
Iarna,8,-11,36,2,85
Toamna,10,16,71,4,834
Primavara,14,21,57,7,1636
Vara,13,27,74,4,3597
Vara,13,26,10,3,892
Vara,12,27,70,4,3886
Primavara,13,19,25,7,628
Primavara,11,21,51,2,1967
Iarna,14,-15,64,4,473
Iarna,12,-10,32,3,55
Vara,12,32,55,10,4395
Iarna,9,-7,77,8,315
Toamna,15,20,86,5,839
Vara,14,32,19,3,801
Vara,8,32,94,2,4911
Toamna,10,23,5,2,363
Primavara,8,28,58,9,2102
Vara,12,30,32,8,609
Iarna,10,-5,48,2,59
Toamna,13,17,39,6,102
Primavara,14,19,65,6,1474
Toamna,12,16,93,10,752
Iarna,12,-16,15,8,182
Primavara,10,20,88,4,2272
Iarna,11,-12,72,4,436
Primavara,8,28,29,2,743
Iarna,11,2,49,9,117
Iarna,8,-15,61,4,380
Iarna,11,-6,71,9,391
Vara,15,33,73,10,2837
Primavara,13,15,37,10,746
Toamna,12,13,11,9,226
Toamna,9,13,60,5,578
Primavara,12,19,53,6,2105
Iarna,16,1,49,9,13
Toamna,11,20,28,2,352
Iarna,10,-9,68,5,499
Vara,9,40,62,7,3147
Iarna,8,2,4,6,232
Primavara,8,20,97,9,2201
Primavara,12,15,63,8,1291
Vara,8,31,7,6,1882
Iarna,12,-11,88,5,335
Primavara,14,18,88,7,2141
Vara,8,34,77,8,4701
Primavara,10,24,46,7,747
Iarna,16,-15,74,4,495
Iarna,10,-13,26,3,230
Vara,10,38,57,6,3909
Iarna,16,-9,56,2,272
Iarna,9,-5,54,10,314
Vara,14,25,55,9,4736
Toamna,12,12,28,7,228
Iarna,15,-12,64,2,418
Vara,10,31,28,10,506
Iarna,16,0,51,6,270
